extract,country,city,left,bottom,right,top,id
bosnia_and_herzegovina,Bosnia and Herzegovina,,15.6287433,42.4543231,19.7217086,45.3764771,6e00379640fde1bf62b0863a0704d8d0
botswana,Botswana,,19.8986474,-27.0059668,29.475304,-17.6781369,4c701c9192b2132d2fad42952ba446f8
brazil,Brazil,,-74.0830624,-33.9689055,-28.5341163,5.3842873,84d8cb8b827869bc429f5dd3764dae27
british_indian_ocean_territory,British Indian Ocean Territory,,70.936504,-7.7454078,72.8020157,-4.9370659,5e5fec38a67920f1d5767bce83caa125
british_virgin_islands,British Virgin Islands,,-65.055961,18.0055311,-63.9597293,19.0503802,28252559b31a5a86e07a79f0c05e8212
brunei,Brunei,,113.976123,3.902508,115.4635623,5.2011857,178e4f83f73a4548f7f9c858b72528bc
bulgaria,Bulgaria,,22.257337,41.1353929,28.9875409,44.3162214,06ae8e18c55286513cacc3f76fede4c2
burkina_faso,Burkina Faso,,-5.6175099,9.293889,2.50261,15.184,4ee655cf61072a6a9392003d1f256a8a
burundi,Burundi,,28.9007401,-4.5693154,30.9495759,-2.2096795,2ea8ab409db50fa70372cb55c074085a
cote_d_ivoire,Cote d'Ivoire,,-8.7017249,4.0621205,-2.3930309,10.840015,638a179e83aaeab5bfe174ad7f310929
cambodia,Cambodia,,102.2338282,9.3230459,107.7276788,14.7902471,8803bf3f73fa98c22351b5328e21d6e0
cameroon,Cameroon,,8.2822176,1.5546659,16.2921476,13.183333,439d152b848dae6f06cecbdba80b7814
canada,Canada,,-141.1027499,41.5765556,-52.223198,83.4362128,3b1a0e6de4cf7badd570029589c3bf1d
cape_verde,Cape Verde,,-25.6731072,14.5066229,-22.3547751,17.507117,833b6af3bf1f4c39f1a8727c61e3e532
cayman_islands,Cayman Islands,,-81.7313747,18.9620619,-79.4110953,20.0573759,36349b68d5ac92fcec5bd9d065594e22
central_african_republic,Central African Republic,,14.3155426,2.1156553,27.5540764,11.101389,6f472c43567288a12d6e2d9a468c4889
chad,Chad,,13.37348,7.34107,24.1,23.5975,b092b2d1bf1eafed766887c4208753c9
chile,Chile,,-109.7795788,-56.8249999,-65.9734088,-17.3983997,fcfdce30b602cf202c52aca43e005357
china,China,,73.3997347,14.8082548,134.8754563,53.6608154,3936ff1cbd50d5fb805893f6fe2690ba
colombia,Colombia,,-82.1000001,-4.3316871,-66.7511906,16.2219145,4a4d13c1272ffae22d6996ed3e0b5d07
comoros,Comoros,,42.925305,-12.7209999,44.8451922,-11.0649999,973b02280422a44f1b150ef0aa3fd012
congo-brazzaville,Congo-Brazzaville,,10.9048205,-5.2358572,18.743611,3.813056,619fc14764969e25f0dbd5642cbc747f
congo-kinshasa,Congo-Kinshasa,,11.9374291,-13.5590349,31.4056758,5.4920026,dab4ec12995b65219c7c5e19b76d4498
cook_islands,Cook Islands,,-166.1856467,-22.2580699,-157.0154965,-8.6168791,72292d63526151d3c3341923f8e137d4
costa_rica,Costa Rica,,-87.3722646,5.2329698,-82.4060207,11.3196781,4577e53fda48fc52f15b503e3ad2ca63
croatia,Croatia,,13.101983,42.0748212,19.5470842,46.655029,531609e1e3bf2fb9e2101d86d68f9ea2
cuba,Cuba,,-85.2679701,19.5275294,-73.8190003,23.5816972,70f964de7d9daa66edcc0f4d51bfb5f3
cyprus,Cyprus,,31.9227581,34.3383706,34.9553182,36.013252,70d30211c5b53dca9fb68ce3c4a3438a
czech_republic,Czech Republic,,11.9905901,48.4518144,18.959216,51.1557036,6f8f53dc42653d5c30ce417c17f3b858
denmark,Denmark,,7.6153255,54.3516667,15.6530641,58.0524297,07f6c803e2188129751e0721c11cee5c
djibouti,Djibouti,,41.6713139,10.8149547,43.7579046,12.8923081,325ad0bad24bdc4a49148e7f61956788
dominica,Dominica,,-61.7869183,14.9074207,-60.9329894,15.8872222,abec77f282bc3cb16a2024dc3850cd76
dominican_republic,Dominican Republic,,-72.1657709,17.166222,-68.0148509,20.234528,6d8c20a50571e85ab9c14faf8e641497
east_timor,East Timor,,123.9415703,-9.6642774,127.6335392,-7.9895458,26d4df7dd4e42ebc94a83da3648ecf19
ecuador,Ecuador,,-92.7828789,-5.1159313,-75.0925039,2.4495499,a515969bafe37f7b77f69fc47c28343c
egypt,Egypt,,24.606389,21.8999975,37.2153517,31.9330854,a458d10c97baa52163dd63c2dc0ee33e
el_salvador,El Salvador,,-90.2602721,12.9262117,-87.4498059,14.551667,2f3351012fc904f6d54461798c82160c
equatorial_guinea,Equatorial Guinea,,5.3172943,-1.7732195,11.4598628,4.089,fc51eacc61f4bd9f5f46fa21c99dfd93
eritrea,Eritrea,,36.343333,12.2548219,43.4001714,18.1479356,69a456d91676a696becf8a3d0e628848
