extract,id,country,city,left,bottom,right,top
brasilia_brazil,91ec186e52a8dceb2c8eec2cb5fd52e9,Brazil,Brasilia,-48.501,-16.317,-47.378,-15.36
oruro_bolivia,65632166b0af109a7a878902847d5261,Bolivia,Oruro,-67.219,-18.049,-67.004,-17.869
piura_peru,d17f84f10d10c58d606d88f629c51a10,Peru,Piura,-80.725,-5.266,-80.522,-5.125
talca_chile,bf4f9af69895954ae5e68e66d62e733a,Chile,Talca,-71.83,-35.572,-71.488,-35.334
salvador_brazil,1c5fc51cb37a91cbf2e2cae76977d827,Brazil,Salvador,-38.783,-13.28,-37.9,-12.492
medellin_colombia,958944b762d846678f0bb70937b4d7bc,Colombia,Medellin,-75.887,6.01,-75.277,6.497
la-paz_bolivia,bea631617090f5a65a95a04e6736c52e,Bolivia,La Paz,-68.335,-16.688,-67.993,-16.391
rancagua_chile,c65366056dd182402e3ac5a9d8b9173b,Chile,Rancagua,-70.87,-34.268,-70.494,-34.052
recife_brazil,142785b7ffabf77fa925c365b4d61c7e,Brazil,Recife,-35.008,-8.156,-33.865,-7.931
potosi_bolivia,72e92d3f552c33f65f1a4aa7381fd169,Bolivia,Potosi,-65.832,-19.636,-65.683,-19.527
bahia-blanca_argentina,31b58dbfc63fecb8de3991f7b23b076e,Argentina,Bahia Blanca,-62.652,-38.964,-61.845,-38.608
guayaquil_ecuador,4373764cfcce9f42f61ca12067bf4dc6,Ecuador,Guayaquil,-80.03,-2.301,-79.768,-2.018
cochabamba_bolivia,f1f2192feb426c8bdd280a30db204baf,Bolivia,Cochabamba,-66.75,-17.793,-65.674,-16.904
cali_colombia,c9cc1ef5b9c760677e8b9721595af2d6,Colombia,Cali,-76.58,3.306,-76.453,3.608
temuco_chile,b7f711049e5bda8122ad68f9d2d7e016,Chile,Temuco,-72.829,-38.917,-72.309,-38.642
cordoba_argentina,d2bb975bcf0f6dc3e22f281b9adbe257,Argentina,Cordoba,-64.373,-31.534,-63.995,-31.256
cusco_peru,92a007875c504461fb8c142b80fab7a3,Peru,Cusco,-71.855,-13.582,-70.047,-13.473
mendoza_argentina,5eb48384af103592c17c82ff8ef02427,Argentina,Mendoza,-70.005,-34.927,-67.198,-32.575
rio-de-janeiro_brazil,b3924ee43bbbf7a111b87067a63c81ff,Brazil,Rio De Janeiro,-43.86,-23.216,-42.751,-22.378
concepcion_chile,ca5763fdac31b7169aef70a06a8fa787,Chile,Concepcion,-73.271,-37.019,-72.887,-36.583
curitiba_brazil,e8d3bb2238baae1bc1d7e705ad535dfa,Brazil,Curitiba,-49.703,-25.799,-48.799,-25.071
trinidad_bolivia,ae5cd7de6a99061ef9295f6d26970700,Bolivia,Trinidad,-64.989,-14.887,-64.825,-14.768
cumana_venezuela,2ffc270e06a4afeef1cc2101f53f66fe,Venezuela,Cumana,-64.221,10.407,-64.086,10.483
cobija_bolivia,dee610aae79c2d703f85accebb4de5bf,Bolivia,Cobija,-68.814,-11.067,-68.711,-10.982
palmas_brazil,cf38cf8c4f529d2427c391f60342e509,Brazil,Palmas,-48.525,-10.464,-48.144,-10.087
region-x_chile,a213a21558dc9a5c288fafe2aa419b8d,Chile,Region X,-74.663,-43.723,-71.301,-40.363
porto-alegre_brazil,d750b4ca0ed0d907213ead9a66f49f02,Brazil,Porto Alegre,-52.159,-30.638,-50.371,-29.471
campo-grande_brazil,5229b2c64a9ceea739606b9bdb3ecb91,Brazil,Campo Grande,-54.902,-20.67,-54.445,-20.352
asuncion_paraguay,ac0d93fa70945f900b95423329df6166,Paraguay,Asuncion,-57.777,-25.535,-57.268,-25.052
florianopolis_brazil,022251fd0b6d16b4fe18e099286092dc,Brazil,Florianopolis,-48.738,-27.902,-48.293,-27.286
santa-cruz_bolivia,55e91abdb420192af66fbf9a76639dd0,Bolivia,Santa Cruz,-63.43,-18.019,-62.889,-17.57
maraciabo_venezuela,1523bd839fc3593f9389791e7cc59148,Venezuela,Maraciabo,-71.743,10.507,-71.586,10.746
lima_peru,2c422888048d34d1c03f18093a59dfe7,Peru,Lima,-77.294,-12.358,-76.701,-11.644
santiago_chile,e093f7e1b9a7874f514847f1fe6f9b2b,Chile,Santiago,-71.043,-33.824,-70.353,-33.151
valdivia_chile,35a42f591f210a2931fadf65080599bb,Chile,Valdivia,-73.501,-39.982,-73.072,-39.688
quito_ecuador,e5586586498dccebf047bf331b8f6214,Ecuador,Quito,-78.853,-0.55,-78.1,0.109
fortaleza_brazil,2ee23415f61cebd9612aea02401069cc,Brazil,Fortaleza,-38.636,-3.889,-38.401,-3.688
bogota_colombia,f329c81bd8424997871809ea4862ad81,Colombia,Bogota,-74.421,4.291,-73.767,5.022
san-jose_costa-rica,b4f1ed88d5f99848e8aafd4093b8d7e7,Costa Rica,San Jose,-84.254,9.788,-83.908,10.007
blumenau_brazil,15a83b56c6547d7971ea5fb93c44d41a,Brazil,Blumenau,-49.19,-27.035,-48.995,-26.624
teresina_brazil,00bc30010c1ae1bd0a4a327491723baa,Brazil,Teresina,-42.97,-5.586,-42.599,-4.787
belo-horizonte_brazil,3a9f488fb934a78f651d2c9b137c74c3,Brazil,Belo Horizonte,-44.063,-20.029,-43.865,-19.776
caracas_venezuela,951275cc5a27eb1c08e3f7176f8fb22c,Venezuela,Caracas,-67.11,10.27,-66.663,10.645
montevideo_uruguay,c40a3728d622b7fa38a39c95949da88a,Uruguay,Montevideo,-56.321,-34.953,-56.026,-34.772
sucre_bolivia,2baf63957ab33420fca7e2a0f3836614,Bolivia,Sucre,-65.342,-19.08,-65.189,-18.977
manaus_brazil,d987bf33fb7fbcabab6ec97e8447ccd2,Brazil,Manaus,-60.161,-3.222,-59.8,-2.898
martinique_french-caribbean,bb4094fd507a59821586e8b5ab58db62,French Caribbean,Martinique,-61.229,14.389,-60.811,14.879
cartagena_colombia,ecc77b1dc58a28796c976956df87e8be,Colombia,Cartagena,-75.627,10.251,-75.337,10.572
sao-paulo_brazil,ae8430992a9141b031c66371d90faebd,Brazil,Sao Paulo,-47.357,-24.317,-45.863,-23.125
paramaribo_suriname,6a8859349654a28c05cd7a407babbe2d,Suriname,Paramaribo,-55.218,5.868,-55.174,5.883
iquique_chile,a1baca7cbd5887257341155123258d29,Chile,Iquique,-70.186,-20.3,-70.113,-20.186
mariana_brazil,983931a2ad2f4c12212c5e2604efcf63,Brazil,Mariana,-43.431,-20.403,-43.407,-20.351
buenos-aires_argentina,9a5df3912948130b0f690eafa4cbe76a,Argentina,Buenos Aires,-59.258,-35.139,-57.833,-34.219
tarija_bolivia,4efdae43b93d3876f57746561b2d7adf,Bolivia,Tarija,-64.843,-21.632,-64.622,-21.454
milwaukee_wisconsin,5eb023ec1b9c70a9379555852137caf1,Wisconsin,Milwaukee,-88.511,42.656,-87.522,43.389
nassau_bahamas,050ee8013c321a85ca5bd8511ae9b687,Bahamas,Nassau,-77.556,24.974,-77.253,25.092
san-francisco_california,3996f34703285a243bfe44cc0c1720ae,California,San Francisco,-122.737,37.449,-122.011,37.955
omaha_nebraska,aa14d872082d3af2ffdb51c37e119d6f,Nebraska,Omaha,-96.275,41.079,-95.757,41.378
quebec_canada,00aad975bd8ddda6e0d2fd6c9d8960ce,Canada,Quebec,-71.447,46.723,-71.103,46.927
tampa_florida,4dcb66ed5e3328a2c514ba60f4513b07,Florida,Tampa,-82.935,27.279,-82.012,28.376
bronx_new-york,bacd8b523d7b8e5c592de56f9a7e8ec8,New York,Bronx,-73.933,40.786,-73.765,40.915
bernalillo-county_new-mexico,d0cb6c53236e4261a6b256877eaa77f3,New Mexico,Bernalillo County,-107.196,34.869,-106.15,35.22
fort-wayne_indiana,cebe750f4740d061fc58991b4cfe0d1c,Indiana,Fort Wayne,-85.335,40.95,-84.98,41.208
miami_florida,65951a4f952a88ac081f9cdd69178573,Florida,Miami,-80.683,25.291,-79.774,26.912
tuscaloosa_alabama,b60e417994fd8f470e2f655736a2578d,Alabama,Tuscaloosa,-88.027,32.829,-86.88,33.785
grand-rapids-holland-muskegon_michigan,5fdee932f7ca02e3a0133509b28236b5,Michigan,Grand Rapids Holland Muskegon,-86.41,42.61,-85.3,43.33
el-paso_texas,df644bc1627bb5747fd67dfc23e39f9c,Texas,El Paso,-106.651,31.614,-106.202,32.003
humboldt_california,2be92ea2a677d91d87ee3600ba50ad33,California,Humboldt,-124.744,39.988,-122.802,41.553
charleston_south-carolina,e573341ac39237a59c0ac987cac940ca,South Carolina,Charleston,-80.344,32.506,-79.675,32.976
phoenix_arizona,eec63b01fe9ab691e72c01d8006b75c3,Arizona,Phoenix,-112.821,32.796,-111.211,34.07
san-juan_puerto-rico,61cf1d69ca91ea44cbc78d5d758ffcf0,Puerto Rico,San Juan,-66.301,18.186,-65.817,18.502
dallas_texas,abc6c155a6a9a766c9b57dac98ff6f8d,Texas,Dallas,-97.789,32.166,-96.113,33.431
mississauga_canada,6855a27699ea017b56043fcbd0a7ca08,Canada,Mississauga,-79.827,43.478,-79.506,43.677
rimouski_canada,601617cfa175b0e98b83979f4718ffb6,Canada,Rimouski,-68.612,48.415,-68.448,48.494
hamilton_canada,ae4824793cb5521fef0e967319c6ba40,Canada,Hamilton,-80.029,43.155,-79.614,43.317
new-york_new-york,aecfa36fdae309a582fd2da32c4a54ae,New York,New York,-74.501,40.345,-73.226,41.097
colorado-springs_colorado,7efdeccbe8348cc5afc835765021ae6f,Colorado,Colorado Springs,-104.906,38.711,-104.64,39.001
ottawa_canada,407a2bffcbc7e408cab5a54c52fbd7d7,Canada,Ottawa,-76.361,44.927,-75.052,45.598
raleigh_north-carolina,c5fc24d69c16f4973b2af0d4b9ddbc9e,North Carolina,Raleigh,-79.116,35.759,-78.577,36.051
south-bend_indiana,7bbab797e97eef5005b59f1a1c393610,Indiana,South Bend,-86.545,41.461,-85.696,41.929
birmingham_alabama,739185a0c8ff2695cfb1971eac77c262,Alabama,Birmingham,-87.136,33.307,-86.387,33.707
victoria_canada,ed5e17c239400e4058932f70d6b76bee,Canada,Victoria,-124.063,48.054,-122.568,48.871
halifax_canada,66c912e4f38a596c828b4e1998a39290,Canada,Halifax,-63.744,44.574,-63.41,44.809
seattle_washington,c2be0aba1bc0cf80463d28f2ac0e6243,Washington,Seattle,-123.931,46.608,-121.335,48.528
santa-barbara_california,1e1d9d44d99cf2fdbb0c73f357750302,California,Santa Barbara,-120.712,33.872,-119.08,34.764
spokane_washington,71cd8ee5c767b0a213b9e3d481f6fc52,Washington,Spokane,-117.801,47.504,-117.107,47.841
kamloops_canada,1f12210f7800f3dbd86aae710c128171,Canada,Kamloops,-120.55,50.61,-120.03,50.87
los-angeles_california,1bb965669289bd2fabdfedeca40e8dba,California,Los Angeles,-119.437,33.298,-116.724,34.583
